feature.name,database.ID,database,database.version,original,source,mapping,target
ACE2,NM_001371415,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001371415,RefSeq,ENSG00000130234,En
AP1G1,NM_001030007,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001030007,RefSeq,B3KNW1,S
BSG,NM_001322243,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001322243,RefSeq,P35613,S
CASP8,NM_001080124,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001080124,RefSeq,Q14790,S
CCL2,NM_002982,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002982,RefSeq,ENSG00000108691,En
CD160,NM_007053,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_007053,RefSeq,ENSG00000117281,En
CSF2,NM_000758,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000758,RefSeq,P04141,S
CXCL1,NM_001511,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001511,RefSeq,ENSG00000163739,En
CXCL10,NM_001565,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001565,RefSeq,ENSG00000169245,En
CXCL11,NM_001302123,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001302123,RefSeq,ENSG00000169248,En
CXCL12,NM_000609,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000609,RefSeq,ENSG00000107562,En
CXCL13,NM_001371558,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001371558,RefSeq,ENSG00000156234,En
CXCL17,NM_198477,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_198477,RefSeq,ENSG00000189377,En
CXCL2,NM_002089,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002089,RefSeq,ENSG00000081041,En
CXCL3,NM_002090,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002090,RefSeq,ENSG00000163734,En
CXCL5,NM_002994,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002994,RefSeq,ENSG00000163735,En
CXCL6,NM_002993,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002993,RefSeq,6372,L
CXCL8,NM_000584,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000584,RefSeq,ENSG00000169429,En
CXCL9,NM_002416,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002416,RefSeq,ENSG00000138755,En
CXCR2,NM_001168298,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001168298,RefSeq,ENSG00000180871,En
DDX58,NM_014314,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_014314,RefSeq,ENSG00000107201,En
DHX58,NM_024119,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_024119,RefSeq,ENSG00000108771,En
EP300,NM_001362843,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001362843,RefSeq,ENSG00000100393,En
FADD,NM_003824,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_003824,RefSeq,ENSG00000168040,En
HAVCR2,NM_032782,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_032782,RefSeq,84868,Wg
HDAC2,NM_001527,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001527,RefSeq,ENSG00000196591,En
IFIT2,NM_001547,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001547,RefSeq,3433,Wg
IFITM1,NM_003641,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_003641,RefSeq,8519,Wg
IFNAR1,NM_000629,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000629,RefSeq,ENSG00000142166,En
IFNAR2,NM_000874,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000874,RefSeq,ENSG00000159110,En
IFNB1,NM_002176,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002176,RefSeq,ENSG00000171855,En
IL10,NM_000572,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000572,RefSeq,P22301,S
IL6,NM_000600,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000600,RefSeq,B4DNV3,S
IL6R,NM_000565,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_000565,RefSeq,A0N0L5,S
IRF3,NM_001197122,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001197122,RefSeq,ENSG00000126456,En
JAK1,NM_001320923,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001320923,RefSeq,ENSG00000162434,En
LAG3,NM_002286,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_002286,RefSeq,3902,L
LARP1,NM_001367713,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001367713,RefSeq,ENSG00000155506,En
MAVS,NM_001206491,https://www.ncbi.nlm.nih.gov/nuccore/,RefSeq Release 213,NM_001206491,RefSeq,ENSG00000088888,En
