"","accession","charge","formula","inchi","inchikey","kegg.compound.id","molecular.mass","monoisotopic.mass","name","n.stars","smiles","chebi.id","query","HMDB","complete.match.noncasesensitive","complete.match.casesensitive","complete.match.firstentry","match.score","annotation.score"
"1",17388,-1,"C5H6NO2","InChI=1S/C5H7NO2/c7-5(8)4-2-1-3-6-4/h3-4H,1-2H2,(H,7,8)/p-1/t4-/m0/s1","DWAKNKKXGALPNW-BYPYZUCNSA-M","C03912",112.1072,112.0404,"(S)-1-pyrroline-5-carboxylate;S-1-pyrroline-5-carboxylate",3,"[O-]C(=O)[C@@H]1CCC=N1",17388,"S-1-pyrroline-5-carboxylate",NA,TRUE,TRUE,FALSE,1,3
"2",16610,0,"C7H19N3","InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2","ATHGHQPFGPMSJY-UHFFFAOYSA-N","C00315",145.24598,145.1579,"spermidine;1,5,10-triazadecane;4-azaoctamethylenediamine;4-azaoctane-1,8-diamine;N-(3-Aminopropyl)-1,4-butane-diamine;Spermidin",3,"NCCCCNCCCN",16610,"spermidine","HMDB0001257;HMDB01257",TRUE,TRUE,TRUE,4,6
"3",16797,1,"C7H9N2O","InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1","LDHMAVIPBRSVRG-UHFFFAOYSA-O","C02918",137.161,137.07094,"1-methylnicotinamide;1-methyl nicotinamide;1-methylnicotinamide cation;3-(aminocarbonyl)-1-methylpyridinium;3-carbamoyl-1-methylpyridin-1-ium;N(1)-Methylnicotinamide;N-1-methylnicotinamide;Trigonellinamide",3,"C[N+]1=CC(=CC=C1)C(N)=O",16797,"1-methylnicotinamide","HMDB0000699;HMDB00699",TRUE,TRUE,TRUE,4,6
"4",72665,0,"C18H34O4","InChI=1S/C18H34O4/c1-2-3-10-13-16(19)17(20)14-11-8-6-4-5-7-9-12-15-18(21)22/h8,11,16-17,19-20H,2-7,9-10,12-15H2,1H3,(H,21,22)/b11-8-","CQSLTKIXAJTQGA-FLIBITNWSA-N","C14829",314.4602,314.24571,"12,13-DiHOME;(9Z)-12,13-Dihydroxyoctadec-9-enoic acid;12,13-DHOA;12,13-DHOME;12,13-dihydroxy-9Z-octadecenoic acid;Isoleukotoxin",3,"CCCCCC(O)C(O)C\C=C/CCCCCCCC(O)=O",72665,"12,13-DiHOME","HMDB04705;HMDB0004705",TRUE,TRUE,TRUE,2,6
"5",62622,-1,"C10H8NO3","InChI=1S/C10H9NO3/c12-7-1-2-9-8(4-7)6(5-11-9)3-10(13)14/h1-2,4-5,11-12H,3H2,(H,13,14)/p-1","DUUGKQCEGZLZNO-UHFFFAOYSA-M",NA,190.1754,190.05097,"(5-hydroxyindol-3-yl)acetate;(5-hydroxyindol-3-yl)acetate(1-);5-hydroxy-3-indole acetic acid anion;5-hydroxyindoleacetate(1-)",3,"Oc1ccc2[nH]cc(CC([O-])=O)c2c1",62622,"5-hydroxyindoleacetate",NA,FALSE,FALSE,FALSE,0.5,0
"6",16810,-2,"C5H4O5","InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2","KPGXRSRHYNQIFN-UHFFFAOYSA-L","C00026",144.08226,144.00697,"2-oxoglutarate(2-);2-ketoglutarate;2-oxoglutarate;2-oxopentanedioic acid, ion(2-);alpha-ketoglutarate",3,"[O-]C(=O)CCC(=O)C([O-])=O",16810,"alpha-ketoglutarate","HMDB00208;HMDB0000208",TRUE,TRUE,FALSE,2,6
"7",58454,-1,"C10H6NO3","InChI=1S/C10H7NO3/c12-9-5-8(10(13)14)11-7-4-2-1-3-6(7)9/h1-5H,(H,11,12)(H,13,14)/p-1","HCZHHEIFKROPDY-UHFFFAOYSA-M",NA,188.1595,188.03532,"kynurenate",3,"Oc1cc(nc2ccccc12)C([O-])=O",58454,"kynurenate",NA,TRUE,TRUE,TRUE,4,0
"8",11805,-1,"C4H7O3","InChI=1S/C4H8O3/c1-3(2-5)4(6)7/h3,5H,2H2,1H3,(H,6,7)/p-1","DBXBTMSZEOQQDU-UHFFFAOYSA-M","C01188",103.09658,103.04007,"3-hydroxyisobutyrate;3-hydroxy-2-isobutyrate;3-hydroxy-2-methylpropanoate;3-hydroxy-2-methylpropionate",3,"CC(CO)C([O-])=O",11805,"3-hydroxyisobutyrate",NA,TRUE,TRUE,TRUE,4,3
"9",17325,-2,"C6H8O5","InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)/p-2","NPOAOTPXWNWTSH-UHFFFAOYSA-L","C03761",160.1247,160.03827,"3-hydroxy-3-methylglutarate(2-);3-hydroxy-3-methylglutarate",3,"CC(O)(CC([O-])=O)CC([O-])=O",17325,"3-hydroxy-3-methylglutarate","HMDB59737;HMDB0000355;HMDB00355",TRUE,TRUE,FALSE,2,6
"10",133744,-1,"C9H9O4","InChI=1S/C9H10O4/c1-13-8-4-6(5-9(11)12)2-3-7(8)10/h2-4,10H,5H2,1H3,(H,11,12)/p-1","QRMZSPFSDQBLIX-UHFFFAOYSA-M",NA,181.166,181.05063,"homovanillate;3-methoxy-4-hydroxyphenylacetate",3,"C1=C(C(=CC(=C1)CC([O-])=O)OC)O",133744,"homovanillate (HVA)",NA,FALSE,FALSE,FALSE,0.5,0
