"feature.name","database.ID","database","database.version"
"S-1-pyrroline-5-carboxylate",17388,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"spermidine",16610,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"1-methylnicotinamide",16797,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"12,13-DiHOME",72665,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"5-hydroxyindoleacetate",62622,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"alpha-ketoglutarate",16810,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"kynurenate",58454,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"3-hydroxyisobutyrate",11805,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"3-hydroxy-3-methylglutarate",17325,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"homovanillate (HVA)",133744,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"3-phosphoglycerate",132960,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cholate",29747,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"4-hydroxyphenylacetate",48999,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"5,6-dihydrothymine",27468,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"hypoxanthine",17368,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"9,10-DiHOME",72663,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"linoleate (18:2n6)",30245,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"quinolinate",132942,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"N-acetylputrescine",17768,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"N-formylmethionine",16552,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"S-adenosylhomocysteine (SAH)",16680,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"adenosine 3',5'-cyclic monophosphate (cAMP)",17489,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"adenosine 5'-monophosphate (AMP)",16027,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"5-methylthioadenosine (MTA)",17509,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"arachidonate (20:4n6)",32395,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"arginine",29016,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"2-hydroxyphenylacetate",62423,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"3-(4-hydroxyphenyl)lactate",36659,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"phenylpyruvate",26008,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"beta-alanine",16958,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"carnosine",15727,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"biliverdin",17033,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"succinate",26806,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"3-hydroxybutyrate (BHBA)",37054,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cholesterol",16113,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"choline phosphate",295975,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"corticosterone",16827,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cortisone",16962,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"creatinine",16737,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cysteinylglycine",4047,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cystine",17376,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"sphingosine",16393,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"deoxycholate",23614,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cystathionine",17755,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"sphinganine",16566,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"flavin adenine dinucleotide (FAD)",16238,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"fumarate",37154,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"gamma-glutamylglutamate",73705,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"gluconate",24265,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"glycine",15428,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"glycocholate",29746,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"guanidinoacetate",131444,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"histidine",27570,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cortisol",17650,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"hypotaurine",16668,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"inosine",17596,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"myo-inositol",17268,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"isoleucine",24898,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"2-aminoadipate",84981,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"citrulline",18211,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"lactose",17716,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"leucine",25017,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"malate",25115,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"methionine",16811,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"nicotinamide",17154,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"ornithine",18257,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"orotate",30839,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"palmitoleate (16:1n7)",32372,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"phenylalanine",28044,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"proline",26271,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"lactate",24996,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"pyridoxal",17310,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"retinol (Vitamin A)",17336,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"salicylate",30762,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"serine",17822,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"serotonin",28790,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"taurine",15891,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"urea",16199,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"uridine",16704,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"trans-urocanate",17771,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"glutamate",14321,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"glutamine",28300,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"threonine",26986,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"tryptophan",27897,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"valine",27266,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"nicotinate",32544,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"glucose",17234,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"adenosine",16335,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cysteine",15356,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"mannose",37684,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"dimethylglycine",17724,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"alanine",16449,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"tyrosine",18186,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"pseudouridine",17802,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"pyruvate",15361,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"uracil",17568,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"xylose",18222,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cytidine",17562,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cotinine",68641,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"caffeine",27732,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"fructose",28757,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"adenine",16708,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"cytosine",16040,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"margarate (17:0)",32366,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"nonadecanoate (19:0)",78796,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"maltose",17306,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"asparagine",22653,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"dihydroorotate",30867,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"pentadecanoate (15:0)",78795,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"allantoin",15676,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"xanthine",15318,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"5-oxoproline",16010,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"picolinate",38184,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
"sarcosine",15611,"https://www.ebi.ac.uk/chebi/","ChEBI Release 211"
