"feature.name","database.ID","database","database.version"
"A1BG","NM_130786","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"A1BG-AS1","NR_015380","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"A2M","NM_000014","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"A2M-AS1","NR_026971","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"A2ML1","NM_001282424","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"A3GALT2","NM_001080438","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"A4GALT","NM_001318038","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AAAS","NM_001173466","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AACS","NM_001319839","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AADAT","NM_001286682","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AAGAB","NM_001271885","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AAK1","NM_001371575","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AAMDC","NM_001316957","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AAMP","NM_001087","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AANAT","NM_001088","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AAR2","NM_001271874","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AARD","NM_001025357","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AARS2","NM_020745","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AARSD1","NM_001261434","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AASDH","NM_001286668","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AASDHPPT","NM_015423","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AASS","NM_005763","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AATBC","NR_026961","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AATF","NM_012138_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"AATK","NM_001080395","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABALON","NR_131907","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABAT","NM_000663","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA1","NM_005502","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA10","NM_080282","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA13","NM_152701","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA2","NM_001606","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA3","NM_001089","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA4","NM_000350","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA5","NM_018672","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA6","NM_080284","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA7","NM_019112","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA8","NM_001288985","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA9","NM_080283","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCA9-AS1","NR_126414","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB1","NM_000927","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB10","NM_012089","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB11","NM_003742_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB4","NM_000443","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB5","NM_001163941","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB6","NM_001349828","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB7","NM_001271696","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB8","NM_001282291","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCB9","NM_001243013","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC1","NM_004996_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC10","NM_001198934","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC11","NM_001370496","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC2","NM_000392","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC3","NM_001144070","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC4","NM_001105515","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC5","NM_001023587","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC6","NM_001079528_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC8","NM_000352","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCC9","NM_005691","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCD1","NM_000033","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCD2","NM_005164","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCD3","NM_001122674","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCD4","NM_001353591","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCE1","NM_001040876","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCF1","NM_001025091_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCF2","NM_007189","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCF3","NM_001351298","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCG1","NM_004915","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCG2","NM_001257386","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABCG8","NM_001357321","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD1","NM_032604","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD10","NM_001272069","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD11","NM_001145364","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD12","NM_001042472","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD12B","NM_001206673","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD13","NM_032859","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD14A","NM_015407","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD14A-ACY1","NM_001316331","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD14B","NM_001146314","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD15","NM_198147","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD16A","NM_001177515_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD16B","NM_080622","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD17A","NM_001130111","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD17B","NM_001025780","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD17C","NM_021214","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD18","NM_001039717","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD2","NM_007011","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD3","NM_001308256","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD4","NM_022060","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD5","NM_001355186","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD6","NM_001320126","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABHD8","NM_024527","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABI1","NM_001012750","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABI2","NM_001282925","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABI3","NM_001135186","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABI3BP","NM_001349329","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABL1","NM_005157","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABL2","NM_001136000","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABLIM1","NM_001003407","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABLIM2","NM_001130083","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABLIM3","NM_001301015","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABO","NM_020469_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABR","NM_001092_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABRA","NM_139166","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABRACL","NM_021243","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABRAXAS1","NM_001345962","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABRAXAS2","NM_032182","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABT1","NM_013375","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABTB1","NM_032548","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ABTB2","NM_145804","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAA1","NM_001130410","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAA2","NM_006111","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACACA","NM_198834_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACACB","NM_001093","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAD10","NM_001136538","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAD11","NM_032169","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAD8","NM_014384","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAD9","NM_014049","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACADM","NM_000016","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACADS","NM_000017","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACADSB","NM_001330174","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACADVL","NM_000018","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAN","NM_001135","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAP1","NM_014716","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAP2","NM_012287","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAP3","NM_030649","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAT1","NM_000019","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACAT2","NM_001303253","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACBD3","NM_022735","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACBD3-AS1","NR_146443","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACBD4","NM_001135705","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACBD5","NM_001042473","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACBD6","NM_032360","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACBD7","NM_001039844","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACCS","NM_001127219","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACCSL","NM_001031854","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACD","NM_001082486","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACE","NM_000789","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACE2","NM_001371415","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACER1","NM_133492","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACER2","NM_001010887","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACER3","NM_001300953","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACHE","NM_000665","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACIN1","NM_001164814","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACKR1","NM_001122951","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACKR2","NM_001296","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACKR3","NM_020311","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACKR4","NM_016557","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACLY","NM_001096","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACMSD","NM_001307983","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACO1","NM_001278352","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACO2","NM_001098","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOD1","NM_001258406","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT1","NM_001037161","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT11","NM_015547","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT12","NM_130767","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT13","NM_001160094","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT2","NM_001364177","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT4","NM_152331","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT6","NM_001037162","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT7","NM_007274","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT8","NM_005469","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOT9","NM_001033583","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOX1","NM_001185039","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOX2","NM_003500","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOX3","NM_001101667","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOXL","NM_001142807","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACOXL-AS1","NR_122074","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACP1","NM_001040649","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACP2","NM_001302489","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACP4","NM_033068","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACP5","NM_001111034","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACP6","NM_001323625","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACP7","NM_001004318","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACR","NM_001097_2","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACRBP","NM_032489","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACRV1","NM_001612","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACSBG1","NM_001199377","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACSBG2","NM_001289177","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACSF2","NM_001288968","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
"ACSF3","NM_001127214","https://www.ncbi.nlm.nih.gov/nuccore/","RefSeq Release 213"
