	database.ID
0	NM_130786
1	NR_015380
2	NM_000014
3	NR_026971
4	NM_001282424
5	NM_001080438
6	NM_001318038
7	NM_001173466
8	NM_001319839
9	NM_001286682
10	NM_001271885
11	NM_001371575
12	NM_001316957
13	NM_001087
14	NM_001088
15	NM_001271874
16	NM_001025357
17	NM_020745
18	NM_001261434
19	NM_001286668
20	NM_015423
21	NM_005763
22	NR_026961
23	NM_012138_2
24	NM_001080395
25	NR_131907
26	NM_000663
27	NM_005502
28	NM_080282
29	NM_152701
30	NM_001606
31	NM_001089
32	NM_000350
33	NM_018672
34	NM_080284
35	NM_019112
36	NM_001288985
37	NM_080283
38	NR_126414
39	NM_000927
40	NM_012089
41	NM_003742_2
42	NM_000443
43	NM_001163941
44	NM_001349828
45	NM_001271696
46	NM_001282291
47	NM_001243013
48	NM_004996_2
49	NM_001198934
50	NM_001370496
51	NM_000392
52	NM_001144070
53	NM_001105515
54	NM_001023587
55	NM_001079528_2
56	NM_000352
57	NM_005691
58	NM_000033
59	NM_005164
60	NM_001122674
61	NM_001353591
62	NM_001040876
63	NM_001025091_2
64	NM_007189
65	NM_001351298
66	NM_004915
67	NM_001257386
68	NM_001357321
69	NM_032604
70	NM_001272069
71	NM_001145364
72	NM_001042472
73	NM_001206673
74	NM_032859
75	NM_015407
76	NM_001316331
77	NM_001146314
78	NM_198147
79	NM_001177515_2
80	NM_080622
81	NM_001130111
82	NM_001025780
83	NM_021214
84	NM_001039717
85	NM_007011
86	NM_001308256
87	NM_022060
88	NM_001355186
89	NM_001320126
90	NM_024527
91	NM_001012750
92	NM_001282925
93	NM_001135186
94	NM_001349329
95	NM_005157
96	NM_001136000
97	NM_001003407
98	NM_001130083
99	NM_001301015
100	NM_020469_2
101	NM_001092_2
102	NM_139166
103	NM_021243
104	NM_001345962
105	NM_032182
106	NM_013375
107	NM_032548
108	NM_145804
109	NM_001130410
110	NM_006111
111	NM_198834_2
112	NM_001093
113	NM_001136538
114	NM_032169
115	NM_014384
116	NM_014049
117	NM_000016
118	NM_000017
119	NM_001330174
120	NM_000018
121	NM_001135
122	NM_014716
123	NM_012287
124	NM_030649
125	NM_000019
126	NM_001303253
127	NM_022735
128	NR_146443
129	NM_001135705
130	NM_001042473
131	NM_032360
132	NM_001039844
133	NM_001127219
134	NM_001031854
135	NM_001082486
136	NM_000789
137	NM_001371415
138	NM_133492
139	NM_001010887
140	NM_001300953
141	NM_000665
142	NM_001164814
143	NM_001122951
144	NM_001296
145	NM_020311
146	NM_016557
147	NM_001096
148	NM_001307983
149	NM_001278352
150	NM_001098
151	NM_001258406
152	NM_001037161
153	NM_015547
154	NM_130767
155	NM_001160094
156	NM_001364177
157	NM_152331
158	NM_001037162
159	NM_007274
160	NM_005469
161	NM_001033583
162	NM_001185039
163	NM_003500
164	NM_001101667
165	NM_001142807
166	NR_122074
167	NM_001040649
168	NM_001302489
169	NM_033068
170	NM_001111034
171	NM_001323625
172	NM_001004318
173	NM_001097_2
174	NM_032489
175	NM_001612
176	NM_001199377
177	NM_001289177
178	NM_001288968
179	NM_001127214
180	NM_001286708
181	NM_001354158
182	NM_001318509
183	NM_016234
184	NM_001009185
185	NM_001318890
186	NM_001308169
187	NM_005622
188	NM_001324371
189	NM_207321
190	NM_001252675
191	NM_001076552
192	NM_001330242
193	NM_001100
194	NM_001141945
195	NR_125373
196	NM_001101
197	NM_005159
198	NM_001199954
199	NM_001199893
200	NM_001024675
201	NM_004301
202	NM_006686
203	NM_001102
204	NR_073422
205	NM_001103
206	NM_001104
207	NM_001322033_2
208	NM_018477
209	NM_005736
210	NM_005735
211	NM_001005386
212	NM_001277140
213	NM_001040135
214	NM_001164458
215	NM_024855
216	NM_022496
217	NM_022899
218	NM_032487
219	NM_001105
220	NM_004302
221	NM_001111031
222	NM_001278579
223	NM_001106
224	NR_028389
225	NM_000020
226	NM_000666
227	NM_080658
228	NM_001107
229	NM_001320586
230	NM_000022
231	NM_001282225
232	NM_001145400
233	NM_001012969
234	NM_001110
235	NM_001318933
236	NM_001288973
237	NM_001261464
238	NM_003183
239	NM_033274
240	NM_003814
241	NM_003813
242	NM_001324417
243	NM_003812
244	NM_001304351
245	NM_001130703
246	NM_021794
247	NM_001313994_2
248	NM_001282447
249	NM_003817
250	NM_001109
251	NM_003816_2
252	NM_001145271
253	NM_006988
254	NM_001282352
255	NM_001324511_2
256	NM_139025_2
257	NM_080722
258	NM_139057
259	NM_133638
260	NM_014244
261	NM_014243
262	NM_001320336
263	NM_007038
264	NM_197941
265	NM_014272
266	NM_007037
267	NM_001145320
268	NM_001301110
269	NM_001288607
270	NM_001367197
271	NM_001284308
272	NM_001346712
273	NM_001025107
274	NM_001112
275	NM_018702
276	NR_033387
277	NM_001324444
